Scheme Name	Net Asset Value
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5210
BANDHAN Corporate Bond Fund - Regular Growth	19.2812
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.2055
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5916
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.9981
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.8968
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.4933
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.9289
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.5069
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.6293
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.7333
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.2722
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6719
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.8389
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4189
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.5863
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5473
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.6500
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.3120
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.4144
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.7614
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6051
DSP Corporate Bond Fund - Direct - Growth	16.2672
DSP Corporate Bond Fund - Direct - IDCW	11.5033
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6007
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.5509
DSP Corporate Bond Fund - Regular - Growth	15.9894
DSP Corporate Bond Fund - Regular - IDCW	11.4746
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5763
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.8882
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	108.1182
Franklin India Corporate Debt Fund - Growth	99.8526
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.0460
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.1375
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.1758
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.3166
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.7444
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8849
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3983
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.0742
HDFC Corporate Bond Fund - Growth Option	32.6281
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.3385
HDFC Corporate Bond Fund - IDCW Option	19.7521
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.4275
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.659
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5446
HSBC Corporate Bond Fund - Direct Annual IDCW	12.0012
HSBC Corporate Bond Fund - Direct Growth	78.0192
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.646
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3805
HSBC Corporate Bond Fund - Regular Annual IDCW	11.744
HSBC Corporate Bond Fund - Regular Growth	73.2469
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.2345
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0399
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.8232
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.3142
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2415
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.5973
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.8964
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3949
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2770
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1968.1623
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1257.8298
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3415.8743
Invesco India Corporate Bond Fund - Direct Plan - Growth	3414.7994
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1253.101
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1171.2348
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3347.3359
Invesco India Corporate Bond Fund - Growth	3186.8124
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1826.5753
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1165.811
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3951.5604
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1072.4333
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3784.8161
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1232.9464
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.0327
Mirae Asset Corporate Bond Fund Direct IDCW	13.0298
Mirae Asset Corporate Bond Fund Regular Growth	12.7888
Mirae Asset Corporate Bond Fund Regular IDCW	12.7888
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0249
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0280
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.0136
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7607
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.0955
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0735
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	45.0930
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	63.1596
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	42.9898
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	60.1935
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.2844
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6329
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	11.9436
